path,size,owner,mtime,campaign,status,reason,recoverability,recommended_action
outputs/02_eval_cache/hs6_fig2_pannuke_cache,1550189604_KiB,nobody,2026-09-02T23:19:01,hs6_fig2_pannuke,DELETE_CANDIDATE,"pure reconstructable PanNuke feature cache; results live elsewhere",rebuild_from_checkpoint_config_split,"delete directory after PID recheck"
outputs/02_eval_cache/tmp,7368_KiB,nobody,2026-09-11T11:13:26,shared_eval_tmp,DELETE_CANDIDATE,"multiprocessing temporary files",not_needed,"delete after PID recheck"
outputs/02_eval_runs/nri_vs_hs0_l_ck15374_s0protocol_3090qi_20260824/**/*.npz,214382310517_bytes,nobody,2026-08-24T12:49:25,nri_vs_hs0,DELETE_CANDIDATE,"reconstructable features for a rejected method; preserve result files",rebuild_from_preserved_checkpoints,"delete NPZ only"
outputs/02_eval_runs/nci_vitl_coverage_u128_8x3090qi_20260818/**/*.npz,176520251023_bytes,nobody,2026-08-18T02:09:17,nci_coverage,DELETE_CANDIDATE,"four-arm duplicate frozen/dense feature caches; NCI stopped",rebuild_from_preserved_checkpoints,"delete NPZ only"
outputs/02_eval_runs/martingale_nci_u1024_b16_20260819_r1/**/*.npz,11465598439_bytes,nobody,2026-08-19T13:53:18,martingale_nci,DELETE_CANDIDATE,"reconstructable features from stopped NCI family",rebuild_from_preserved_checkpoints,"delete NPZ only"
outputs/tmp,58008_KiB,nobody,2026-07-13T23:59:24,legacy_tmp,DELETE_CANDIDATE,"stale temporary workspace",not_needed,"delete after PID recheck"
outputs/tmp_eval,10560_KiB,nobody,2026-07-10T17:04:46,legacy_tmp_eval,DELETE_CANDIDATE,"stale temporary evaluation workspace",not_needed,"delete after PID recheck"
outputs/02_eval_runs/biordt_ret4_skdt_e12to15_3090qi_20260909,117600_KiB,nobody,2026-09-09T15:54:09,skdt_e12_e15_ret4,INVALID_PROTOCOL,"batch16 Ret4 includes LC25000 and is not full matrix",diagnostic_summary_preservable,"archive summary then delete root"
outputs/02_eval_runs/hs6_all_checkpoints_reg4_ret6_cluster6_det3_3090fleet_20260909,6064128_KiB,nobody,2026-09-09T11:07:33,hs6_expanded_legacy,EXPERIMENTAL_NOT_REPORTABLE,"model-dependent batches and v3-excluded proxy tasks",diagnostic_summary_preservable,"archive final JSON then delete caches"
outputs/01_training_runs/S0b_packwds_dino256_b4096_lr2e-4_wu2_e15,107439432_KiB,nobody,2026-07-09T15:54:03,s0b,ARCHIVE,"pre-HS6 recipe; historical plot dependency",only_from_checkpoint_or_external_backup,"whitelist cited checkpoint then request approval"
